MEL code,Library code,bit sequence
490,2516,1010011101011000
491,2519,1010011101011110
492,2520,1010011101101000
493,2523,1010011101101110
494,2525,1010011101111010
495,2526,1010011101111100
496,2529,1010011110001010
497,2530,1010011110001100
498,2532,1010011110011000
499,2535,1010011110011110
500,2536,1010011110101000
501,2539,1010011110101110
502,2541,1010011110111010
503,2542,1010011110111100
504,2544,1010011111001000
505,2547,1010011111001110
506,2549,1010011111011010
507,2550,1010011111011100
508,2553,1010011111101010
509,2554,1010011111101100
510,2556,1010011111111000
511,2559,1010011111111110
512,4097,1100000000001010
513,4098,1100000000001100
514,4100,1100000000011000
515,4103,1100000000011110
516,4104,1100000000101000
517,4107,1100000000101110
518,4109,1100000000111010
519,4110,1100000000111100
520,4112,1100000001001000
521,4115,1100000001001110
522,4117,1100000001011010
523,4118,1100000001011100
524,4121,1100000001101010
525,4122,1100000001101100
526,4124,1100000001111000
527,4127,1100000001111110
528,4128,1100000010001000
529,4131,1100000010001110
530,4133,1100000010011010
531,4134,1100000010011100
532,4137,1100000010101010
533,4138,1100000010101100
534,4140,1100000010111000
535,4143,1100000010111110
536,4145,1100000011001010
537,4146,1100000011001100
538,4148,1100000011011000
539,4151,1100000011011110
540,4152,1100000011101000
541,4155,1100000011101110
542,4157,1100000011111010
543,4158,1100000011111100
544,4160,1100000100001000
545,4163,1100000100001110
546,4165,1100000100011010
547,4166,1100000100011100
548,4169,1100000100101010
549,4170,1100000100101100
550,4172,1100000100111000
551,4175,1100000100111110
552,4177,1100000101001010
553,4178,1100000101001100
554,4180,1100000101011000
555,4183,1100000101011110
556,4184,1100000101101000
557,4187,1100000101101110
558,4189,1100000101111010
559,4190,1100000101111100
560,4193,1100000110001010
561,4194,1100000110001100
562,4196,1100000110011000
563,4199,1100000110011110
564,4200,1100000110101000
565,4203,1100000110101110
566,4205,1100000110111010
567,4206,1100000110111100
568,4208,1100000111001000
569,4211,1100000111001110
570,4213,1100000111011010
571,4214,1100000111011100
572,4217,1100000111101010
573,4218,1100000111101100
574,4220,1100000111111000
575,4223,1100000111111110
576,4224,1100001000001000
577,4227,1100001000001110
578,4229,1100001000011010
579,4230,1100001000011100
580,4233,1100001000101010
581,4234,1100001000101100
582,4236,1100001000111000
583,4239,1100001000111110
584,4241,1100001001001010
585,4242,1100001001001100
586,4244,1100001001011000
587,4247,1100001001011110
588,4248,1100001001101000
589,4251,1100001001101110
590,4253,1100001001111010
591,4254,1100001001111100
592,4257,1100001010001010
593,4258,1100001010001100
594,4260,1100001010011000
595,4263,1100001010011110
596,4264,1100001010101000
597,4267,1100001010101110
598,4269,1100001010111010
599,4270,1100001010111100
600,4272,1100001011001000
601,4275,1100001011001110
602,4277,1100001011011010
603,4278,1100001011011100
604,4281,1100001011101010
605,4282,1100001011101100
606,4284,1100001011111000
607,4287,1100001011111110
608,4289,1100001100001010
609,4290,1100001100001100
610,4292,1100001100011000
611,4295,1100001100011110
612,4296,1100001100101000
613,4299,1100001100101110
614,4301,1100001100111010
615,4302,1100001100111100
616,4304,1100001101001000
617,4307,1100001101001110
618,4309,1100001101011010
619,4310,1100001101011100
620,4313,1100001101101010
621,4314,1100001101101100
622,4316,1100001101111000
623,4319,1100001101111110
624,4320,1100001110001000
625,4323,1100001110001110
626,4325,1100001110011010
627,4326,1100001110011100
628,4329,1100001110101010
629,4330,1100001110101100
630,4332,1100001110111000
631,4335,1100001110111110
632,4337,1100001111001010
633,4338,1100001111001100
634,4340,1100001111011000
635,4343,1100001111011110
636,4344,1100001111101000
637,4347,1100001111101110
638,4349,1100001111111010
639,4350,1100001111111100
640,4352,1100010000001000
641,4355,1100010000001110
642,4357,1100010000011010
643,4358,1100010000011100
644,4361,1100010000101010
645,4362,1100010000101100
646,4364,1100010000111000
647,4367,1100010000111110
648,4369,1100010001001010
649,4370,1100010001001100
650,4372,1100010001011000
651,4375,1100010001011110
652,4376,1100010001101000
653,4379,1100010001101110
654,4381,1100010001111010
655,4382,1100010001111100
656,4385,1100010010001010
657,4386,1100010010001100
658,4388,1100010010011000
659,4391,1100010010011110
660,4392,1100010010101000
661,4395,1100010010101110
662,4397,1100010010111010
663,4398,1100010010111100
664,4400,1100010011001000
665,4403,1100010011001110
666,4405,1100010011011010
667,4406,1100010011011100
668,4409,1100010011101010
669,4410,1100010011101100
670,4412,1100010011111000
671,4415,1100010011111110
672,4417,1100010100001010
673,4418,1100010100001100
674,4420,1100010100011000
675,4423,1100010100011110
676,4424,1100010100101000
677,4427,1100010100101110
678,4429,1100010100111010
679,4430,1100010100111100
680,4432,1100010101001000
681,4435,1100010101001110
682,4437,1100010101011010
683,4438,1100010101011100
684,4441,1100010101101010
685,4442,1100010101101100
686,4444,1100010101111000
687,4447,1100010101111110
688,4448,1100010110001000
689,4451,1100010110001110
690,4453,1100010110011010
691,4454,1100010110011100
692,4457,1100010110101010
693,4458,1100010110101100
694,4460,1100010110111000
695,4463,1100010110111110
696,4465,1100010111001010
697,4466,1100010111001100
698,4468,1100010111011000
699,4471,1100010111011110
700,4472,1100010111101000
701,4475,1100010111101110
702,4477,1100010111111010
703,4478,1100010111111100
704,4481,1100011000001010
705,4482,1100011000001100
706,4484,1100011000011000
707,4487,1100011000011110
708,4488,1100011000101000
709,4491,1100011000101110
710,4493,1100011000111010
711,4494,1100011000111100
712,4496,1100011001001000
713,4499,1100011001001110
714,4501,1100011001011010
715,4502,1100011001011100
716,4505,1100011001101010
717,4506,1100011001101100
718,4508,1100011001111000
719,4511,1100011001111110
720,4512,1100011010001000
721,4515,1100011010001110
722,4517,1100011010011010
723,4518,1100011010011100
724,4521,1100011010101010
725,4522,1100011010101100
726,4524,1100011010111000
727,4527,1100011010111110
728,4529,1100011011001010
729,4530,1100011011001100
730,4532,1100011011011000
731,4535,1100011011011110
732,4536,1100011011101000
733,4539,1100011011101110
734,4541,1100011011111010
735,4542,1100011011111100
736,4544,1100011100001000
737,4547,1100011100001110
738,4549,1100011100011010
739,4550,1100011100011100
740,4553,1100011100101010
741,4554,1100011100101100
742,4556,1100011100111000
743,4559,1100011100111110
744,4561,1100011101001010
745,4562,1100011101001100
746,4564,1100011101011000
747,4567,1100011101011110
748,4568,1100011101101000
749,4571,1100011101101110
750,4573,1100011101111010
751,4574,1100011101111100
752,4577,1100011110001010
753,4578,1100011110001100
754,4580,1100011110011000
755,4583,1100011110011110
756,4584,1100011110101000
757,4587,1100011110101110
758,4589,1100011110111010
759,4590,1100011110111100
760,4592,1100011111001000
761,4595,1100011111001110
762,4597,1100011111011010
763,4598,1100011111011100
764,4601,1100011111101010
765,4602,1100011111101100
766,4604,1100011111111000
767,4607,1100011111111110
768,6144,1110000000001000
769,6147,1110000000001110
770,6149,1110000000011010
771,6150,1110000000011100
772,6153,1110000000101010
773,6154,1110000000101100
774,6156,1110000000111000
775,6159,1110000000111110
776,6161,1110000001001010
777,6162,1110000001001100
778,6164,1110000001011000
779,6167,1110000001011110
780,6168,1110000001101000
781,6171,1110000001101110
782,6173,1110000001111010
783,6174,1110000001111100
784,6177,1110000010001010
785,6178,1110000010001100
786,6180,1110000010011000
787,6183,1110000010011110
788,6184,1110000010101000
789,6187,1110000010101110
790,6189,1110000010111010
791,6190,1110000010111100
792,6192,1110000011001000
793,6195,1110000011001110
794,6197,1110000011011010
795,6198,1110000011011100
796,6201,1110000011101010
797,6202,1110000011101100
798,6204,1110000011111000
799,6207,1110000011111110
800,6209,1110000100001010
801,6210,1110000100001100
802,6212,1110000100011000
803,6215,1110000100011110
804,6216,1110000100101000
805,6219,1110000100101110
806,6221,1110000100111010
807,6222,1110000100111100
808,6224,1110000101001000
809,6227,1110000101001110
810,6229,1110000101011010
811,6230,1110000101011100
812,6233,1110000101101010
813,6234,1110000101101100
814,6236,1110000101111000
815,6239,1110000101111110
816,6240,1110000110001000
817,6243,1110000110001110
818,6245,1110000110011010
819,6246,1110000110011100
820,6249,1110000110101010
821,6250,1110000110101100
822,6252,1110000110111000
823,6255,1110000110111110
824,6257,1110000111001010
825,6258,1110000111001100
826,6260,1110000111011000
827,6263,1110000111011110
828,6264,1110000111101000
829,6267,1110000111101110
830,6269,1110000111111010
831,6270,1110000111111100
832,6273,1110001000001010
833,6274,1110001000001100
834,6276,1110001000011000
835,6279,1110001000011110
836,6280,1110001000101000
837,6283,1110001000101110
838,6285,1110001000111010
839,6286,1110001000111100
840,6288,1110001001001000
841,6291,1110001001001110
842,6293,1110001001011010
843,6294,1110001001011100
844,6297,1110001001101010
845,6298,1110001001101100
846,6300,1110001001111000
847,6303,1110001001111110
848,6304,1110001010001000
849,6307,1110001010001110
850,6309,1110001010011010
851,6310,1110001010011100
852,6313,1110001010101010
853,6314,1110001010101100
854,6316,1110001010111000
855,6319,1110001010111110
856,6321,1110001011001010
857,6322,1110001011001100
858,6324,1110001011011000
859,6327,1110001011011110
860,6328,1110001011101000
861,6331,1110001011101110
862,6333,1110001011111010
863,6334,1110001011111100
864,6336,1110001100001000
865,6339,1110001100001110
866,6341,1110001100011010
867,6342,1110001100011100
868,6345,1110001100101010
869,6346,1110001100101100
870,6348,1110001100111000
871,6351,1110001100111110
872,6353,1110001101001010
873,6354,1110001101001100
874,6356,1110001101011000
875,6359,1110001101011110
876,6360,1110001101101000
877,6363,1110001101101110
878,6365,1110001101111010
879,6366,1110001101111100
880,6369,1110001110001010
881,6370,1110001110001100
882,6372,1110001110011000
883,6375,1110001110011110
884,6376,1110001110101000
885,6379,1110001110101110
886,6381,1110001110111010
887,6382,1110001110111100
888,6384,1110001111001000
889,6387,1110001111001110
890,6389,1110001111011010
891,6390,1110001111011100
892,6393,1110001111101010
893,6394,1110001111101100
894,6396,1110001111111000
895,6399,1110001111111110
896,6401,1110010000001010
897,6402,1110010000001100
898,6404,1110010000011000
899,6407,1110010000011110
900,6408,1110010000101000
901,6411,1110010000101110
902,6413,1110010000111010
903,6414,1110010000111100
904,6416,1110010001001000
905,6419,1110010001001110
906,6421,1110010001011010
907,6422,1110010001011100
908,6425,1110010001101010
909,6426,1110010001101100
910,6428,1110010001111000
911,6431,1110010001111110
912,6432,1110010010001000
913,6435,1110010010001110
914,6437,1110010010011010
915,6438,1110010010011100
916,6441,1110010010101010
917,6442,1110010010101100
918,6444,1110010010111000
919,6447,1110010010111110
920,6449,1110010011001010
921,6450,1110010011001100
922,6452,1110010011011000
923,6455,1110010011011110
924,6456,1110010011101000
925,6459,1110010011101110
926,6461,1110010011111010
927,6462,1110010011111100
928,6464,1110010100001000
929,6467,1110010100001110
930,6469,1110010100011010
931,6470,1110010100011100
932,6473,1110010100101010
933,6474,1110010100101100
934,6476,1110010100111000
935,6479,1110010100111110
936,6481,1110010101001010
937,6482,1110010101001100
938,6484,1110010101011000
939,6487,1110010101011110
940,6488,1110010101101000
941,6491,1110010101101110
942,6493,1110010101111010
943,6494,1110010101111100
944,6497,1110010110001010
945,6498,1110010110001100
946,6500,1110010110011000
947,6503,1110010110011110
948,6504,1110010110101000
949,6507,1110010110101110
950,6509,1110010110111010
951,6510,1110010110111100
952,6512,1110010111001000
953,6515,1110010111001110
954,6517,1110010111011010
955,6518,1110010111011100
956,6521,1110010111101010
957,6522,1110010111101100
958,6524,1110010111111000
959,6527,1110010111111110
960,6528,1110011000001000
961,6531,1110011000001110
962,6533,1110011000011010
963,6534,1110011000011100
964,6537,1110011000101010
965,6538,1110011000101100
966,6540,1110011000111000
967,6543,1110011000111110
968,6545,1110011001001010
969,6546,1110011001001100
970,6548,1110011001011000
971,6551,1110011001011110
972,6552,1110011001101000
973,6555,1110011001101110
974,6557,1110011001111010
975,6558,1110011001111100
976,6561,1110011010001010
977,6562,1110011010001100
978,6564,1110011010011000
979,6567,1110011010011110
980,6568,1110011010101000
981,6571,1110011010101110
982,6573,1110011010111010
983,6574,1110011010111100
984,6576,1110011011001000
985,6579,1110011011001110
986,6581,1110011011011010
987,6582,1110011011011100
988,6585,1110011011101010
989,6586,1110011011101100
990,6588,1110011011111000
991,6591,1110011011111110
992,6593,1110011100001010
993,6594,1110011100001100
994,6596,1110011100011000
995,6599,1110011100011110
996,6600,1110011100101000
997,6603,1110011100101110
998,6605,1110011100111010
999,6606,1110011100111100
1000,6608,1110011101001000
1001,6611,1110011101001110
1002,6613,1110011101011010
1003,6614,1110011101011100
1004,6617,1110011101101010
1005,6618,1110011101101100
1006,6620,1110011101111000
1007,6623,1110011101111110
1008,6624,1110011110001000
1009,6627,1110011110001110
1010,6629,1110011110011010
1011,6630,1110011110011100
1012,6633,1110011110101010
1013,6634,1110011110101100
1014,6636,1110011110111000
1015,6639,1110011110111110
1016,6641,1110011111001010
1017,6642,1110011111001100
1018,6644,1110011111011000
1019,6647,1110011111011110
1020,6648,1110011111101000
1021,6651,1110011111101110
1022,6653,1110011111111010
1023,6654,1110011111111100
